,datetime,team1,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,chances1,chances2,moves1,moves2,group,matchday
40,2016-10-19 14:45:00+00:00,Arsenal,Ludogorets,ARS,LUD,g,6,0,5.549,0.0,2.134,0.418,2.231,0.8230000000000001,,
41,2016-10-19 14:45:00+00:00,Celtic,Borussia Monchengladbach,CEL,MGB,g,0,2,0.0,1.932,0.617,1.033,1.195,1.467,,
42,2016-10-19 14:45:00+00:00,Napoli,Besiktas,NAP,BES,g,2,3,2.1,3.15,3.769,1.376,1.522,0.6909999999999991,,
43,2016-10-19 14:45:00+00:00,Barcelona,Manchester City,BAR,MNC,g,4,0,3.707,0.0,3.576,1.217,1.869,0.995,,
44,2016-10-19 14:45:00+00:00,Bayern Munich,PSV,BMU,PSV,g,4,1,3.8449999999999998,1.05,4.134,1.675,3.297,1.017,,
45,2016-10-19 14:45:00+00:00,Dynamo Kiev,Benfica,KIEV,BEN,g,0,2,0.0,2.1,1.738,1.6179999999999999,0.993,0.789,,
46,2016-10-19 14:45:00+00:00,Rostov,Atletico Madrid,ROS,ATL,g,0,1,0.0,1.05,0.08799999999999901,1.949,0.556,1.651,,
47,2016-10-19 14:45:00+00:00,Paris Saint-Germain,Basel,PSG,BAS,g,3,0,2.625,0.0,2.547,1.304,1.428,0.924,,
48,2016-11-01 13:45:00+00:00,Besiktas,Napoli,BES,NAP,g,1,1,1.05,1.05,1.286,1.463,0.429,1.5350000000000001,,
49,2016-11-01 15:45:00+00:00,Manchester City,Barcelona,MNC,BAR,g,3,1,3.055,1.05,2.004,1.881,1.701,1.9220000000000002,,
50,2016-11-01 15:45:00+00:00,Atletico Madrid,Rostov,ATL,ROS,g,2,1,2.1,1.05,2.056,0.431,2.9699999999999998,0.116,,
51,2016-11-01 15:45:00+00:00,Borussia Monchengladbach,Celtic,MGB,CEL,g,1,1,1.05,1.05,1.8050000000000002,1.369,1.888,0.909,,
